,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
10,H2H 2-2,Ricardas Berankis,6.0,6.0,5980027.0,151543.0,,2.16,Ricardas Berankis,93.0,9.0,6.0,83.0,35.0,109.0,56.0,38.0,53.0,20.0,,,,,,1.0,192.0,,,2.16,1.77,R16,6-4 4-6 6-4,Florian Mayer,4.0,1.0,5980027.0,151544.0,,1.77,Florian Mayer,99.0,22.0,7.0,109.0,51.0,83.0,52.0,33.0,31.0,15.0,,,,,,2.0,192.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
11,H2H 4-0,Feliciano Lopez,6.0,0.0,5980028.0,151547.0,,1.98,Feliciano Lopez,34.0,0.0,0.0,38.0,6.0,53.0,38.0,22.0,15.0,6.0,,,,,,1.0,91.0,,,1.98,1.9,R16,6-3 6-1,Kevin Anderson,15.0,1.0,5980028.0,151548.0,,1.9,Kevin Anderson,57.0,9.0,4.0,53.0,25.0,38.0,27.0,24.0,11.0,8.0,,,,,,2.0,91.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
12,H2H 3-0,Benjamin Becker,7.0,0.0,5980029.0,151594.0,,1.65,Benjamin Becker,55.0,6.0,0.0,73.0,24.0,43.0,26.0,21.0,17.0,10.0,,,,,,2.0,116.0,,,1.65,2.36,R16,6-3 6-4,Santiago Giraldo,2.0,0.0,5980029.0,151593.0,,2.36,Santiago Giraldo,61.0,2.0,2.0,43.0,12.0,73.0,52.0,36.0,21.0,13.0,,,,,,1.0,116.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
13,H2H 2-1,Lukasz Kubot,0.0,4.0,5980030.0,151550.0,,4.0,Lukasz Kubot,37.0,4.0,1.0,47.0,16.0,49.0,26.0,13.0,23.0,8.0,,,,,,2.0,96.0,,,4.0,1.28,R16,6-2 6-2,Marcos Baghdatis,5.0,1.0,5980030.0,151549.0,,1.28,Marcos Baghdatis,59.0,9.0,5.0,49.0,28.0,47.0,26.0,19.0,21.0,12.0,,,,,,1.0,96.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
14,H2H 1-0,Alexandr Dolgopolov,7.0,3.0,5980031.0,151595.0,,5.05,Alexandr Dolgopolov,38.0,3.0,1.0,42.0,8.0,56.0,33.0,21.0,23.0,9.0,,,,,,1.0,98.0,,,5.05,1.2,R16,6-4 6-1,Andy Roddick,15.0,1.0,5980031.0,151596.0,,1.2,Andy Roddick,60.0,11.0,4.0,56.0,26.0,42.0,30.0,26.0,12.0,8.0,,,,,,2.0,98.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
15,H2H 2-0,Ryan Harrison,4.0,1.0,5980008.0,151500.0,,9.5,Ryan Harrison,41.0,1.0,0.0,52.0,13.0,50.0,27.0,16.0,23.0,12.0,,,,,,2.0,102.0,,,9.5,1.08,R32,6-2 6-4,Robin Soderling,8.0,3.0,5980008.0,151499.0,,1.08,Robin Soderling,61.0,4.0,3.0,50.0,22.0,52.0,32.0,26.0,20.0,13.0,,,,,,1.0,102.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
16,H2H 2-1,Dudi Sela,16.0,4.0,5980009.0,151246.0,,1.94,Dudi Sela,99.0,10.0,2.0,99.0,37.0,103.0,59.0,42.0,44.0,20.0,,,,,,2.0,202.0,,,1.94,1.94,R32,1-6 7-6(3) 6-2,Michael Berrer,9.0,3.0,5980009.0,151245.0,,1.94,Michael Berrer,103.0,5.0,2.0,103.0,41.0,99.0,54.0,34.0,45.0,28.0,,,,,,1.0,202.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
17,H2H 5-2,John Millman,4.0,3.0,5980010.0,151501.0,,2.4,John Millman,78.0,3.0,2.0,85.0,30.0,76.0,58.0,42.0,18.0,6.0,,,,,,1.0,161.0,,,2.4,1.63,R32,4-6 6-2 6-4,Matthew Ebden,12.0,1.0,5980010.0,151502.0,,1.63,Matthew Ebden,83.0,8.0,4.0,76.0,28.0,85.0,63.0,46.0,22.0,9.0,,,,,,2.0,161.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
18,H2H 1-0,Thiemo de Bakker,10.0,1.0,5980011.0,151233.0,,1.87,Thiemo de Bakker,62.0,2.0,0.0,63.0,14.0,72.0,43.0,31.0,29.0,17.0,,,,,,1.0,135.0,,,1.87,2.02,R32,7-6(5) 6-4,Denis Istomin,6.0,1.0,5980011.0,151234.0,,2.02,Denis Istomin,73.0,3.0,1.0,72.0,24.0,63.0,43.0,33.0,20.0,16.0,,,,,,2.0,135.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
19,H2H 1-0,Adrian Mannarino,1.0,6.0,5980012.0,151302.0,,4.75,Adrian Mannarino,47.0,1.0,0.0,51.0,12.0,68.0,37.0,24.0,31.0,11.0,,,,,,2.0,119.0,,,4.75,1.22,R32,6-1 6-4,Mardy Fish,11.0,0.0,5980012.0,151301.0,,1.22,Mardy Fish,72.0,6.0,3.0,68.0,33.0,51.0,28.0,23.0,23.0,16.0,,,,,,1.0,119.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
20,H2H 1-0,Tobias Kamke,4.0,7.0,5980013.0,151298.0,,2.94,Tobias Kamke,79.0,5.0,3.0,80.0,27.0,87.0,50.0,33.0,37.0,19.0,,,,,,2.0,167.0,,,2.94,1.45,R32,5-7 6-1 6-4,Radek Stepanek,7.0,3.0,5980013.0,151297.0,,1.45,Radek Stepanek,88.0,10.0,5.0,87.0,35.0,80.0,47.0,37.0,33.0,16.0,,,,,,1.0,167.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
21,H2H 1-1,Arnaud Clement,6.0,3.0,5980014.0,151303.0,,2.22,Arnaud Clement,55.0,2.0,1.0,55.0,18.0,64.0,37.0,26.0,27.0,11.0,,,,,,1.0,119.0,,,2.22,1.72,R32,6-4 6-3,Ricardas Berankis,8.0,2.0,5980014.0,151304.0,,1.72,Ricardas Berankis,64.0,9.0,4.0,64.0,27.0,55.0,30.0,24.0,25.0,13.0,,,,,,2.0,119.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
22,H2H 4-1,Bernard Tomic,5.0,0.0,5980015.0,151257.0,,3.15,Bernard Tomic,31.0,0.0,0.0,35.0,3.0,58.0,34.0,22.0,24.0,6.0,,,,,,1.0,93.0,,,3.15,1.4,R32,6-2 6-2,Florian Mayer,12.0,0.0,5980015.0,151258.0,,1.4,Florian Mayer,62.0,5.0,4.0,58.0,30.0,35.0,25.0,23.0,10.0,9.0,,,,,,2.0,93.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
23,H2H 1-1,Philipp Petzschner,9.0,5.0,5980016.0,151222.0,,2.59,Philipp Petzschner,70.0,5.0,1.0,77.0,23.0,68.0,30.0,25.0,38.0,22.0,,,,,,2.0,145.0,,,2.59,1.56,R32,6-4 7-6(11),Feliciano Lopez,11.0,7.0,5980016.0,151221.0,,1.556,Feliciano Lopez,75.0,2.0,2.0,68.0,21.0,77.0,39.0,33.0,38.0,21.0,,,,,,1.0,145.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
24,H2H 1-0,Peter Luczak,4.0,2.0,5980017.0,152236.0,,,Peter Luczak,42.0,0.0,0.0,44.0,4.0,58.0,41.0,28.0,17.0,10.0,,,,,,2.0,102.0,,,,,R32,6-4 6-4,Kevin Anderson,18.0,0.0,5980017.0,152235.0,,,Kevin Anderson,60.0,3.0,2.0,58.0,20.0,44.0,33.0,31.0,11.0,9.0,,,,,,1.0,102.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
25,H2H 1-2,Gilles Simon,5.0,2.0,5980018.0,151259.0,,1.4,Gilles Simon,58.0,5.0,0.0,74.0,28.0,53.0,30.0,22.0,23.0,8.0,,,,,,1.0,127.0,,,1.4,3.15,R32,6-2 6-3,Santiago Giraldo,2.0,0.0,5980018.0,151260.0,,3.15,Santiago Giraldo,69.0,5.0,4.0,53.0,23.0,74.0,57.0,37.0,17.0,9.0,,,,,,2.0,127.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
26,H2H 4-4,Fernando Verdasco,10.0,5.0,5980019.0,151300.0,,1.38,Fernando Verdasco,82.0,7.0,1.0,99.0,34.0,78.0,47.0,34.0,31.0,14.0,,,,,,2.0,177.0,,,1.38,3.3,R32,6-1 6-7(2) 6-3,Benjamin Becker,6.0,4.0,5980019.0,151299.0,,3.3,Benjamin Becker,95.0,5.0,4.0,78.0,30.0,99.0,53.0,42.0,46.0,23.0,,,,,,1.0,177.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
27,H2H 2-0,Florent Serra,7.0,2.0,5980020.0,151504.0,,4.9,Florent Serra,97.0,6.0,3.0,91.0,34.0,103.0,62.0,44.0,41.0,19.0,,,,,,2.0,194.0,,,4.9,1.21,R32,3-6 7-5 6-4,Marcos Baghdatis,13.0,2.0,5980020.0,151503.0,,1.21,Marcos Baghdatis,97.0,8.0,4.0,103.0,40.0,91.0,46.0,35.0,45.0,22.0,,,,,,1.0,194.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
28,H2H 1-2,Daniel Brands,6.0,4.0,5980021.0,151247.0,,1.98,Daniel Brands,37.0,6.0,0.0,51.0,14.0,45.0,29.0,16.0,16.0,7.0,,,,,,1.0,96.0,,,1.98,1.9,R32,6-2 6-2,Lukasz Kubot,7.0,1.0,5980021.0,151248.0,,1.9,Lukasz Kubot,59.0,5.0,4.0,45.0,22.0,51.0,31.0,24.0,20.0,13.0,,,,,,2.0,96.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
29,H2H 2-0,Igor Andreev,2.0,1.0,5980022.0,151266.0,,2.4,Igor Andreev,46.0,1.0,0.0,55.0,15.0,55.0,34.0,22.0,21.0,9.0,,,,,,2.0,110.0,,,2.4,1.63,R32,6-4 6-2,Alexandr Dolgopolov,7.0,3.0,5980022.0,151265.0,,1.63,Alexandr Dolgopolov,64.0,8.0,3.0,55.0,24.0,55.0,29.0,26.0,26.0,14.0,,,,,,1.0,110.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
30,H2H 1-0,Marinko Matosevic,2.0,0.0,5980023.0,151285.0,,7.2,Marinko Matosevic,35.0,4.0,1.0,47.0,11.0,48.0,22.0,12.0,26.0,12.0,,,,,,1.0,95.0,,,7.2,1.12,R32,6-3 6-2,Andy Roddick,5.0,1.0,5980023.0,151286.0,,1.12,Andy Roddick,60.0,6.0,4.0,48.0,24.0,47.0,29.0,23.0,18.0,13.0,,,,,,2.0,95.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
31,,R Lindstedt / H Tecau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,6-4 0-0 Retired,L Dlouhy / P Hanley,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
32,,M Mirnyi / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,6-4 6-2,L Dlouhy / P Hanley,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
33,,P Petzschner / A Peya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,4-6 6-3 [10-4],R Lindstedt / H Tecau,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
34,,B Becker / M Kohlmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-1 6-2,M Mirnyi / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
35,,A Clement / M Mertinak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-4 7-6(3),L Dlouhy / P Hanley,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
36,,M Ebden / P Luczak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-3 6-7(2) [13-11],R Lindstedt / H Tecau,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
37,,C Ball / C Guccione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-2 6-2,P Petzschner / A Peya,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
38,,T de Bakker / D Tursunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,3-6 6-3 [10-5],M Mirnyi / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
39,,R Junaid / T Kamke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-4 1-6 [14-12],B Becker / M Kohlmann,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
40,,J Erlich / A Ram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(1) 6-2,L Dlouhy / P Hanley,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
41,,A Dolgopolov / D Istomin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-4 6-4,A Clement / M Mertinak,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
42,,F Serra / G Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-3 6-2,M Ebden / P Luczak,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
43,,E Butorac / J Rojer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-7(2) 7-6(8) [10-2],R Lindstedt / H Tecau,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
44,,M Fish / A Roddick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-5 3-6 [11-9],P Petzschner / A Peya,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
45,,L Kubot / O Marach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-5 4-6 [10-8],C Ball / C Guccione,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
46,H2H 3-0,Tatsuma Ito,8.0,4.0,5980004.0,151244.0,,,Tatsuma Ito,89.0,4.0,2.0,94.0,31.0,89.0,49.0,39.0,40.0,19.0,,,,,,2.0,183.0,,,,,FQ,7-5 4-6 6-3,Adrian Mannarino,13.0,2.0,5980004.0,151243.0,,,Adrian Mannarino,94.0,11.0,3.0,89.0,31.0,94.0,59.0,45.0,35.0,18.0,,,,,,1.0,183.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
47,H2H 1-0,Peter Luczak,7.0,3.0,5980005.0,151252.0,,,Peter Luczak,78.0,8.0,1.0,88.0,26.0,80.0,56.0,41.0,24.0,11.0,,,,,,2.0,168.0,,,,,FQ,6-3 5-7 6-2,Ricardas Berankis,23.0,2.0,5980005.0,151251.0,,,Ricardas Berankis,90.0,7.0,3.0,80.0,28.0,88.0,51.0,45.0,37.0,17.0,,,,,,1.0,168.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
48,H2H 1-0,Jurgen Zopp,9.0,5.0,5980006.0,151254.0,,,Jurgen Zopp,101.0,5.0,2.0,89.0,29.0,115.0,68.0,49.0,47.0,23.0,,,,,,2.0,204.0,,,,,FQ,2-6 7-6(2) 6-4,Ryan Harrison,11.0,2.0,5980006.0,151253.0,,,Ryan Harrison,103.0,10.0,1.0,115.0,43.0,89.0,63.0,45.0,26.0,15.0,,,,,,1.0,204.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
49,H2H 3-1,Greg Jones,4.0,0.0,5980007.0,151255.0,,,Greg Jones,42.0,1.0,0.0,47.0,11.0,58.0,36.0,22.0,22.0,9.0,,,,,,1.0,105.0,,,,,FQ,6-4 6-1,Matthew Ebden,2.0,1.0,5980007.0,151256.0,,,Matthew Ebden,63.0,11.0,4.0,58.0,27.0,47.0,25.0,23.0,22.0,13.0,,,,,,2.0,105.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
50,H2H 2-0,Peter Polansky,7.0,3.0,5979996.0,151196.0,,3.05,Peter Polansky,54.0,3.0,0.0,57.0,16.0,57.0,28.0,25.0,29.0,13.0,,,,,,2.0,114.0,,,3.05,1.4,SFQ,6-4 6-4,Adrian Mannarino,4.0,0.0,5979996.0,151195.0,,1.4,Adrian Mannarino,60.0,2.0,2.0,57.0,19.0,57.0,31.0,24.0,26.0,17.0,,,,,,1.0,114.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
51,H2H 1-0,Stefan Koubek,6.0,1.0,5979997.0,151198.0,,1.43,Stefan Koubek,89.0,6.0,2.0,97.0,34.0,97.0,61.0,41.0,36.0,14.0,,,,,,2.0,194.0,,,1.43,2.88,SFQ,6-7(3) 6-1 6-4,Tatsuma Ito,4.0,5.0,5979997.0,151197.0,,2.88,Tatsuma Ito,105.0,10.0,5.0,97.0,42.0,97.0,58.0,43.0,39.0,20.0,,,,,,1.0,194.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
52,H2H 1-0,Marco Crugnola,3.0,6.0,5979998.0,151200.0,,,Marco Crugnola,52.0,3.0,1.0,49.0,14.0,74.0,41.0,24.0,33.0,14.0,,,,,,2.0,123.0,,,,,SFQ,6-3 6-3,Ricardas Berankis,3.0,2.0,5979998.0,151199.0,,,Ricardas Berankis,71.0,15.0,4.0,74.0,36.0,49.0,20.0,13.0,29.0,22.0,,,,,,1.0,123.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
53,H2H 4-3,Dmitry Tursunov,21.0,5.0,5979999.0,151215.0,,1.91,Dmitry Tursunov,97.0,3.0,1.0,101.0,28.0,98.0,54.0,46.0,44.0,23.0,,,,,,1.0,199.0,,,1.91,1.91,SFQ,4-6 7-6(6) 6-4,Peter Luczak,15.0,4.0,5979999.0,151216.0,,1.91,Peter Luczak,102.0,5.0,1.0,98.0,29.0,101.0,67.0,52.0,34.0,21.0,,,,,,2.0,199.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
54,H2H 1-0,Matthias Bachinger,2.0,1.0,5980000.0,151194.0,,2.2,Matthias Bachinger,50.0,3.0,1.0,57.0,17.0,57.0,37.0,23.0,20.0,10.0,,,,,,2.0,114.0,,,2.2,1.7,SFQ,6-4 6-4,Ryan Harrison,10.0,1.0,5980000.0,151193.0,,1.7,Ryan Harrison,64.0,5.0,3.0,57.0,24.0,57.0,44.0,34.0,13.0,6.0,,,,,,1.0,114.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
